2022.09.1
cid:2024626, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:2024626, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:2024626, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:2024626, bit_rank:36, bit:191, score:0.0001, score_perc:0.0027, label:0, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:644734, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0027, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:644734, bit_rank:2, bit:807, score:0.0001, score_perc:0.0027, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:644734, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0027, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:644734, bit_rank:4, bit:935, score:0.0001, score_perc:0.0027, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:644734, bit_rank:8, bit:1480, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:644734, bit_rank:10, bit:41, score:0.0001, score_perc:0.0027, label:0, frag1:[C](-[CH2])(-[NH])=[O] frag2:[C;D3](-[CH2;D2])(-[NH;D2])=[O;D1], radius:1
644734 rank:11 bit:25 failed
cid:644734, bit_rank:12, bit:926, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:644734, bit_rank:22, bit:80, score:0.0001, score_perc:0.0027, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:629239, bit_rank:0, bit:1917, score:0.0001, score_perc:0.0012, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:629239, bit_rank:2, bit:807, score:0.0001, score_perc:0.0012, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:629239, bit_rank:3, bit:1152, score:0.0001, score_perc:0.0012, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:629239, bit_rank:18, bit:1722, score:0.0001, score_perc:0.0012, label:0, frag1:[CH3]-[c] frag2:[CH3;D1]-[c;R;D3], radius:1
