ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
6000_1.0_none_0.050,0.906,0.006,0.758,0.027,0.970,0.006,0.161,0.002
6000_1.0_none_0.075,0.906,0.005,0.758,0.026,0.969,0.005,0.159,0.002
6000_1.0_none_0.100,0.906,0.005,0.758,0.026,0.970,0.004,0.157,0.002
8000_1.0_none_0.050,0.906,0.005,0.758,0.026,0.970,0.005,0.161,0.001
8000_1.0_none_0.075,0.906,0.005,0.758,0.026,0.969,0.005,0.159,0.001
8000_1.0_none_0.100,0.906,0.005,0.758,0.025,0.970,0.005,0.158,0.002
12000_1.0_none_0.050,0.907,0.006,0.759,0.026,0.970,0.005,0.162,0.002
12000_1.0_none_0.075,0.906,0.006,0.759,0.026,0.970,0.005,0.160,0.002
12000_1.0_none_0.100,0.906,0.006,0.758,0.025,0.970,0.005,0.158,0.002
