ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
4000_1.0_12_0.0500,0.844,0.005,0.738,0.012,0.957,0.004,0.085,0.002,0.848
4000_1.0_12_0.0100,0.836,0.004,0.734,0.011,0.954,0.003,0.082,0.002,0.844
4000_1.0_12_0.5000,0.855,0.003,0.727,0.007,0.958,0.006,0.092,0.001,0.843
4000_1.0_12_0.0045,0.828,0.006,0.731,0.01,0.951,0.004,0.076,0.001,0.841
8000_0.0_none_0.0014,0.881,0.007,0.731,0.015,0.95,0.006,0.14,0.004,0.841
6000_0.0_none_0.0014,0.878,0.006,0.729,0.012,0.951,0.005,0.137,0.003,0.840
4000_1.0_12_0.0023,0.808,0.004,0.73,0.007,0.949,0.004,0.066,0.001,0.840
4000_1.0_12_0.0027,0.815,0.003,0.728,0.01,0.949,0.004,0.069,0.001,0.839
4000_1.0_12_0.0018,0.799,0.003,0.727,0.009,0.948,0.004,0.063,0.001,0.838
6000_0.0_none_0.0018,0.877,0.007,0.722,0.012,0.948,0.006,0.133,0.004,0.835
8000_0.0_none_0.0018,0.875,0.007,0.722,0.012,0.948,0.004,0.133,0.005,0.835
4000_1.0_12_0.0014,0.79,0.003,0.723,0.011,0.945,0.006,0.06,0.001,0.834
4000_0.0_none_0.0014,0.873,0.01,0.72,0.016,0.947,0.004,0.132,0.007,0.834
4000_0.0_none_0.0018,0.873,0.007,0.719,0.008,0.947,0.004,0.127,0.003,0.833
8000_0.0_none_0.0023,0.872,0.006,0.715,0.01,0.948,0.006,0.122,0.004,0.832
6000_0.0_none_0.0023,0.867,0.01,0.716,0.009,0.946,0.007,0.12,0.003,0.831
4000_0.0_none_0.0023,0.868,0.006,0.712,0.01,0.947,0.006,0.115,0.004,0.830
4000_1.0_12_0.0005,0.78,0.003,0.715,0.012,0.943,0.004,0.057,0,0.829
4000_1.0_12_0.0009,0.776,0.005,0.714,0.01,0.94,0.006,0.056,0.001,0.827
4000_1.0_6_0.0027,0.77,0.005,0.636,0.004,0.927,0.005,0.055,0.001,0.782
4000_1.0_6_0.0023,0.768,0.003,0.636,0.005,0.927,0.004,0.054,0.001,0.782
4000_1.0_6_0.0014,0.761,0.002,0.633,0.006,0.923,0.003,0.052,0.001,0.778
4000_1.0_6_0.0018,0.765,0.004,0.63,0.008,0.925,0.004,0.053,0.001,0.778
4000_1.0_6_0.0045,0.775,0.005,0.626,0.002,0.928,0.005,0.056,0.001,0.777
4000_1.0_6_0.0005,0.755,0.006,0.627,0.008,0.924,0.006,0.051,0.001,0.776
4000_1.0_6_0.0009,0.759,0.003,0.622,0.008,0.923,0.003,0.052,0,0.773
4000_1.0_6_0.0100,0.784,0.006,0.605,0.003,0.929,0.007,0.059,0.001,0.767
4000_1.0_6_0.0500,0.79,0.008,0.555,0.019,0.93,0.006,0.061,0.001,0.743
4000_1.0_6_0.1000,0.793,0.008,0.542,0.02,0.93,0.006,0.062,0.001,0.736
4000_1.0_6_0.2000,0.798,0.009,0.527,0.018,0.93,0.006,0.064,0.002,0.729
4000_1.0_6_0.5000,0.803,0.009,0.476,0.029,0.925,0.006,0.068,0.002,0.701
