ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
600_0.1_16_0.01,0.831,0.012,0.611,0.012,0.947,0.009,0.077,0.003,0.7789999999999999
600_0.1_none_0.10,0.818,0.007,0.607,0.014,0.95,0.009,0.069,0.001,0.7785
600_0.1_32_0.15,0.814,0.008,0.604,0.013,0.951,0.009,0.066,0.001,0.7775
600_0.5_8_0.05,0.837,0.008,0.596,0.01,0.952,0.008,0.079,0.001,0.774
600_0.1_none_0.25,0.808,0.006,0.596,0.013,0.95,0.009,0.064,0.001,0.7729999999999999
600_0.1_16_0.05,0.828,0.008,0.595,0.012,0.951,0.007,0.074,0.001,0.7729999999999999
600_0.1_16_0.10,0.824,0.009,0.593,0.019,0.951,0.007,0.071,0.002,0.772
600_0.1_32_0.25,0.806,0.006,0.595,0.016,0.949,0.007,0.064,0.001,0.772
600_0.1_16_0.02,0.831,0.007,0.593,0.016,0.949,0.007,0.076,0.002,0.7709999999999999
600_0.1_16_0.25,0.818,0.006,0.589,0.011,0.95,0.009,0.069,0.001,0.7695
600_0.1_16_0.15,0.823,0.01,0.589,0.013,0.95,0.009,0.07,0.002,0.7695
600_1.0_8_0.02,0.831,0.012,0.586,0.012,0.949,0.01,0.077,0.002,0.7675
600_0.1_none_0.50,0.799,0.005,0.586,0.017,0.948,0.009,0.061,0.001,0.7669999999999999
600_0.2_8_0.05,0.832,0.011,0.582,0.012,0.951,0.009,0.076,0.002,0.7665
600_0.1_32_0.50,0.8,0.007,0.582,0.011,0.948,0.009,0.061,0.001,0.7649999999999999
600_0.1_16_0.50,0.808,0.005,0.578,0.013,0.948,0.007,0.065,0.0,0.7629999999999999
600_0.5_8_0.02,0.831,0.01,0.564,0.012,0.947,0.01,0.077,0.002,0.7555
600_0.2_8_0.02,0.826,0.012,0.555,0.013,0.947,0.009,0.075,0.002,0.751
