ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
600_1.0_8_0.10, 0.814, 0.008, 0.650, 0.009, 0.944, 0.007, 0.070, 0.002
600_1.0_8_0.15, 0.816, 0.008, 0.647, 0.008, 0.944, 0.006, 0.071, 0.002
600_1.0_8_0.25, 0.822, 0.007, 0.641, 0.005, 0.944, 0.007, 0.074, 0.001
600_1.0_8_0.50, 0.825, 0.007, 0.608, 0.016, 0.943, 0.007, 0.076, 0.001
600_1.0_15_0.01, 0.845, 0.006, 0.751, 0.011, 0.954, 0.004, 0.087, 0.002
600_1.0_15_0.02, 0.859, 0.007, 0.760, 0.014, 0.960, 0.004, 0.096, 0.003
600_1.0_15_0.05, 0.860, 0.005, 0.764, 0.012, 0.961, 0.004, 0.097, 0.003
600_1.0_15_0.10, 0.861, 0.007, 0.768, 0.013, 0.962, 0.005, 0.098, 0.002
600_1.0_15_0.15, 0.863, 0.006, 0.769, 0.014, 0.961, 0.005, 0.099, 0.002
600_1.0_15_0.25, 0.863, 0.006, 0.765, 0.014, 0.962, 0.006, 0.098, 0.001
600_1.0_15_0.50, 0.862, 0.004, 0.752, 0.012, 0.962, 0.005, 0.096, 0.002
600_1.0_30_0.01, 0.892, 0.006, 0.797, 0.013, 0.967, 0.004, 0.135, 0.002
600_1.0_30_0.02, 0.891, 0.004, 0.801, 0.014, 0.967, 0.002, 0.131, 0.002
600_1.0_30_0.05, 0.890, 0.003, 0.801, 0.016, 0.968, 0.004, 0.124, 0.002
600_1.0_30_0.10, 0.885, 0.004, 0.800, 0.017, 0.969, 0.003, 0.118, 0.001
600_1.0_30_0.15, 0.884, 0.005, 0.796, 0.017, 0.969, 0.004, 0.114, 0.001
600_1.0_30_0.25, 0.880, 0.002, 0.791, 0.019, 0.968, 0.005, 0.109, 0.001
600_1.0_30_0.50, 0.872, 0.004, 0.778, 0.018, 0.966, 0.004, 0.102, 0.002
600_1.0_none_0.01, 0.905, 0.005, 0.812, 0.017, 0.969, 0.005, 0.155, 0.002
600_1.0_none_0.02, 0.901, 0.005, 0.809, 0.017, 0.968, 0.003, 0.146, 0.002
600_1.0_none_0.05, 0.900, 0.006, 0.809, 0.018, 0.969, 0.004, 0.140, 0.003
600_1.0_none_0.10, 0.898, 0.006, 0.805, 0.019, 0.969, 0.004, 0.136, 0.003
600_1.0_none_0.15, 0.895, 0.004, 0.804, 0.019, 0.967, 0.004, 0.132, 0.001
600_1.0_none_0.25, 0.891, 0.004, 0.800, 0.020, 0.969, 0.005, 0.127, 0.002
600_1.0_none_0.50, 0.891, 0.005, 0.790, 0.021, 0.969, 0.006, 0.123, 0.001
