ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
600_0.1_4_0.01, 0.765, 0.011, 0.532, 0.018, 0.905, 0.007, 0.055, 0.003
600_0.1_4_0.02, 0.764, 0.006, 0.512, 0.009, 0.909, 0.004, 0.055, 0.001
600_0.1_4_0.05, 0.771, 0.010, 0.482, 0.022, 0.911, 0.007, 0.055, 0.001
600_0.1_4_0.10, 0.766, 0.004, 0.451, 0.022, 0.910, 0.005, 0.054, 0.001
600_0.1_4_0.15, 0.768, 0.005, 0.448, 0.020, 0.909, 0.005, 0.055, 0.001
600_0.1_4_0.25, 0.767, 0.010, 0.432, 0.020, 0.908, 0.004, 0.055, 0.002
600_0.1_4_0.50, 0.773, 0.009, 0.389, 0.043, 0.906, 0.005, 0.056, 0.002
600_0.1_6_0.01, 0.778, 0.007, 0.597, 0.013, 0.920, 0.006, 0.058, 0.003
600_0.1_6_0.02, 0.785, 0.005, 0.595, 0.012, 0.928, 0.005, 0.060, 0.001
600_0.1_6_0.05, 0.787, 0.008, 0.553, 0.016, 0.928, 0.005, 0.060, 0.002
600_0.1_6_0.10, 0.785, 0.007, 0.546, 0.015, 0.926, 0.006, 0.060, 0.001
600_0.1_6_0.15, 0.790, 0.006, 0.533, 0.013, 0.928, 0.006, 0.060, 0.001
600_0.1_6_0.25, 0.789, 0.005, 0.531, 0.020, 0.930, 0.004, 0.060, 0.001
600_0.1_6_0.50, 0.787, 0.008, 0.506, 0.030, 0.931, 0.005, 0.060, 0.001
600_0.1_8_0.01, 0.796, 0.010, 0.629, 0.006, 0.926, 0.006, 0.064, 0.003
600_0.1_8_0.02, 0.798, 0.002, 0.619, 0.008, 0.935, 0.006, 0.063, 0.000
600_0.1_8_0.05, 0.796, 0.006, 0.597, 0.008, 0.937, 0.004, 0.062, 0.001
600_0.1_8_0.10, 0.795, 0.006, 0.599, 0.014, 0.937, 0.006, 0.062, 0.001
600_0.1_8_0.15, 0.801, 0.008, 0.597, 0.009, 0.940, 0.006, 0.063, 0.001
600_0.1_8_0.25, 0.799, 0.006, 0.592, 0.011, 0.941, 0.006, 0.062, 0.001
600_0.1_8_0.50, 0.796, 0.007, 0.564, 0.026, 0.940, 0.007, 0.061, 0.001
600_0.1_15_0.01, 0.814, 0.005, 0.691, 0.007, 0.942, 0.005, 0.071, 0.001
600_0.1_15_0.02, 0.805, 0.006, 0.682, 0.008, 0.948, 0.005, 0.065, 0.001
600_0.1_15_0.05, 0.799, 0.005, 0.669, 0.008, 0.950, 0.005, 0.062, 0.002
600_0.1_15_0.10, 0.803, 0.005, 0.650, 0.010, 0.952, 0.004, 0.062, 0.001
600_0.1_15_0.15, 0.797, 0.005, 0.645, 0.011, 0.951, 0.005, 0.061, 0.001
600_0.1_15_0.25, 0.794, 0.002, 0.631, 0.011, 0.951, 0.006, 0.059, 0.000
600_0.1_15_0.50, 0.785, 0.006, 0.595, 0.024, 0.949, 0.007, 0.057, 0.001
600_0.1_30_0.01, 0.812, 0.002, 0.724, 0.011, 0.950, 0.003, 0.068, 0.001
600_0.1_30_0.02, 0.798, 0.003, 0.696, 0.010, 0.954, 0.003, 0.061, 0.001
600_0.1_30_0.05, 0.791, 0.008, 0.670, 0.011, 0.952, 0.006, 0.059, 0.001
600_0.1_30_0.10, 0.788, 0.004, 0.639, 0.016, 0.950, 0.003, 0.058, 0.001
600_0.1_30_0.15, 0.787, 0.004, 0.630, 0.015, 0.951, 0.006, 0.057, 0.001
600_0.1_30_0.25, 0.781, 0.003, 0.610, 0.022, 0.952, 0.004, 0.055, 0.001
600_0.1_30_0.50, 0.773, 0.003, 0.587, 0.025, 0.951, 0.004, 0.053, 0.001
600_0.1_none_0.01, 0.807, 0.004, 0.733, 0.009, 0.952, 0.004, 0.065, 0.001
600_0.1_none_0.02, 0.792, 0.001, 0.702, 0.009, 0.956, 0.003, 0.059, 0.000
600_0.1_none_0.05, 0.786, 0.005, 0.655, 0.016, 0.953, 0.005, 0.057, 0.001
600_0.1_none_0.10, 0.781, 0.006, 0.626, 0.023, 0.953, 0.006, 0.056, 0.001
600_0.1_none_0.15, 0.780, 0.005, 0.608, 0.026, 0.952, 0.007, 0.055, 0.001
600_0.1_none_0.25, 0.771, 0.005, 0.587, 0.029, 0.948, 0.007, 0.053, 0.001
600_0.1_none_0.50, 0.763, 0.003, 0.563, 0.031, 0.948, 0.006, 0.051, 0.000
600_0.2_4_0.01, 0.759, 0.005, 0.549, 0.021, 0.910, 0.005, 0.053, 0.001
600_0.2_4_0.02, 0.766, 0.007, 0.497, 0.020, 0.912, 0.005, 0.054, 0.001
600_0.2_4_0.05, 0.766, 0.007, 0.443, 0.031, 0.906, 0.007, 0.055, 0.001
600_0.2_4_0.10, 0.770, 0.010, 0.426, 0.030, 0.904, 0.004, 0.055, 0.002
600_0.2_4_0.15, 0.769, 0.006, 0.413, 0.023, 0.903, 0.006, 0.055, 0.001
600_0.2_4_0.25, 0.767, 0.010, 0.389, 0.034, 0.897, 0.007, 0.055, 0.002
600_0.2_4_0.50, 0.771, 0.006, 0.320, 0.040, 0.892, 0.004, 0.058, 0.001
600_0.2_6_0.01, 0.778, 0.005, 0.614, 0.006, 0.926, 0.006, 0.058, 0.001
600_0.2_6_0.02, 0.791, 0.006, 0.586, 0.008, 0.930, 0.006, 0.061, 0.001
600_0.2_6_0.05, 0.790, 0.008, 0.561, 0.016, 0.930, 0.005, 0.060, 0.001
600_0.2_6_0.10, 0.792, 0.007, 0.550, 0.017, 0.931, 0.006, 0.061, 0.001
600_0.2_6_0.15, 0.793, 0.008, 0.542, 0.022, 0.930, 0.006, 0.062, 0.001
600_0.2_6_0.25, 0.797, 0.007, 0.520, 0.019, 0.930, 0.006, 0.063, 0.001
600_0.2_6_0.50, 0.800, 0.010, 0.488, 0.031, 0.928, 0.005, 0.065, 0.002
600_0.2_8_0.01, 0.795, 0.005, 0.653, 0.004, 0.933, 0.005, 0.063, 0.001
600_0.2_8_0.02, 0.807, 0.004, 0.648, 0.006, 0.941, 0.004, 0.067, 0.001
600_0.2_8_0.05, 0.805, 0.009, 0.632, 0.007, 0.941, 0.007, 0.066, 0.002
600_0.2_8_0.10, 0.808, 0.007, 0.633, 0.007, 0.943, 0.006, 0.067, 0.002
600_0.2_8_0.15, 0.809, 0.006, 0.634, 0.009, 0.944, 0.006, 0.067, 0.001
600_0.2_8_0.25, 0.813, 0.006, 0.627, 0.010, 0.944, 0.006, 0.069, 0.001
600_0.2_8_0.50, 0.818, 0.006, 0.609, 0.018, 0.945, 0.006, 0.071, 0.001
600_0.2_15_0.01, 0.837, 0.005, 0.727, 0.013, 0.951, 0.003, 0.082, 0.003
600_0.2_15_0.02, 0.841, 0.003, 0.737, 0.012, 0.956, 0.003, 0.083, 0.001
600_0.2_15_0.05, 0.844, 0.005, 0.738, 0.008, 0.960, 0.004, 0.083, 0.002
600_0.2_15_0.10, 0.841, 0.007, 0.741, 0.009, 0.960, 0.004, 0.082, 0.002
600_0.2_15_0.15, 0.843, 0.006, 0.740, 0.010, 0.960, 0.006, 0.081, 0.001
600_0.2_15_0.25, 0.839, 0.004, 0.738, 0.010, 0.960, 0.005, 0.079, 0.001
600_0.2_15_0.50, 0.833, 0.004, 0.721, 0.011, 0.959, 0.005, 0.075, 0.001
600_0.2_30_0.01, 0.865, 0.005, 0.772, 0.014, 0.961, 0.005, 0.101, 0.003
600_0.2_30_0.02, 0.858, 0.008, 0.776, 0.013, 0.964, 0.005, 0.092, 0.002
600_0.2_30_0.05, 0.854, 0.004, 0.771, 0.014, 0.964, 0.002, 0.088, 0.001
600_0.2_30_0.10, 0.852, 0.006, 0.768, 0.014, 0.965, 0.005, 0.085, 0.001
600_0.2_30_0.15, 0.845, 0.004, 0.765, 0.016, 0.964, 0.005, 0.082, 0.001
600_0.2_30_0.25, 0.842, 0.004, 0.759, 0.016, 0.965, 0.006, 0.079, 0.001
600_0.2_30_0.50, 0.833, 0.002, 0.744, 0.015, 0.963, 0.004, 0.074, 0.000
600_0.2_none_0.01, 0.868, 0.002, 0.794, 0.013, 0.966, 0.003, 0.098, 0.001
600_0.2_none_0.02, 0.862, 0.005, 0.780, 0.017, 0.966, 0.003, 0.092, 0.001
600_0.2_none_0.05, 0.855, 0.006, 0.772, 0.016, 0.962, 0.006, 0.089, 0.001
600_0.2_none_0.10, 0.853, 0.004, 0.768, 0.017, 0.965, 0.005, 0.086, 0.001
600_0.2_none_0.15, 0.850, 0.005, 0.766, 0.017, 0.964, 0.006, 0.084, 0.001
600_0.2_none_0.25, 0.845, 0.004, 0.763, 0.018, 0.964, 0.006, 0.081, 0.001
600_0.2_none_0.50, 0.841, 0.004, 0.755, 0.018, 0.964, 0.005, 0.078, 0.001
600_0.5_4_0.01, 0.753, 0.006, 0.538, 0.015, 0.906, 0.006, 0.052, 0.001
600_0.5_4_0.02, 0.766, 0.006, 0.491, 0.010, 0.909, 0.006, 0.054, 0.001
600_0.5_4_0.05, 0.770, 0.008, 0.444, 0.026, 0.906, 0.004, 0.055, 0.001
600_0.5_4_0.10, 0.767, 0.010, 0.419, 0.022, 0.901, 0.007, 0.055, 0.002
600_0.5_4_0.15, 0.770, 0.009, 0.408, 0.024, 0.899, 0.006, 0.056, 0.001
600_0.5_4_0.25, 0.770, 0.009, 0.376, 0.032, 0.894, 0.005, 0.056, 0.002
600_0.5_4_0.50, 0.772, 0.009, 0.306, 0.029, 0.887, 0.006, 0.059, 0.002
600_0.5_6_0.01, 0.779, 0.004, 0.613, 0.008, 0.926, 0.006, 0.057, 0.001
600_0.5_6_0.02, 0.791, 0.006, 0.587, 0.013, 0.930, 0.007, 0.061, 0.001
600_0.5_6_0.05, 0.788, 0.007, 0.560, 0.018, 0.930, 0.006, 0.061, 0.001
600_0.5_6_0.10, 0.793, 0.009, 0.551, 0.018, 0.931, 0.007, 0.062, 0.002
600_0.5_6_0.15, 0.796, 0.009, 0.542, 0.015, 0.931, 0.006, 0.063, 0.002
600_0.5_6_0.25, 0.799, 0.010, 0.529, 0.015, 0.931, 0.007, 0.064, 0.002
600_0.5_6_0.50, 0.802, 0.007, 0.487, 0.029, 0.927, 0.006, 0.067, 0.001
600_0.5_8_0.01, 0.797, 0.002, 0.670, 0.009, 0.937, 0.007, 0.063, 0.001
600_0.5_8_0.02, 0.807, 0.006, 0.655, 0.011, 0.941, 0.005, 0.067, 0.001
600_0.5_8_0.05, 0.811, 0.004, 0.645, 0.006, 0.944, 0.005, 0.068, 0.001
600_0.5_8_0.10, 0.812, 0.009, 0.645, 0.007, 0.945, 0.006, 0.069, 0.002
600_0.5_8_0.15, 0.814, 0.008, 0.640, 0.009, 0.945, 0.007, 0.070, 0.002
600_0.5_8_0.25, 0.819, 0.007, 0.633, 0.005, 0.944, 0.007, 0.072, 0.001
600_0.5_8_0.50, 0.824, 0.006, 0.610, 0.015, 0.943, 0.007, 0.075, 0.001
600_0.5_15_0.01, 0.844, 0.004, 0.745, 0.014, 0.954, 0.005, 0.086, 0.002
600_0.5_15_0.02, 0.851, 0.004, 0.751, 0.012, 0.958, 0.003, 0.091, 0.002
600_0.5_15_0.05, 0.854, 0.006, 0.755, 0.011, 0.960, 0.005, 0.091, 0.002
600_0.5_15_0.10, 0.853, 0.008, 0.758, 0.011, 0.960, 0.005, 0.090, 0.002
600_0.5_15_0.15, 0.856, 0.007, 0.759, 0.010, 0.962, 0.005, 0.091, 0.002
600_0.5_15_0.25, 0.854, 0.006, 0.756, 0.013, 0.963, 0.005, 0.090, 0.001
600_0.5_15_0.50, 0.852, 0.005, 0.743, 0.011, 0.961, 0.005, 0.087, 0.002
600_0.5_30_0.01, 0.884, 0.009, 0.788, 0.012, 0.963, 0.005, 0.121, 0.004
600_0.5_30_0.02, 0.880, 0.007, 0.794, 0.015, 0.966, 0.004, 0.113, 0.003
600_0.5_30_0.05, 0.876, 0.005, 0.793, 0.015, 0.968, 0.004, 0.106, 0.002
600_0.5_30_0.10, 0.869, 0.006, 0.790, 0.014, 0.967, 0.004, 0.101, 0.001
600_0.5_30_0.15, 0.868, 0.005, 0.788, 0.015, 0.967, 0.004, 0.098, 0.001
600_0.5_30_0.25, 0.864, 0.005, 0.784, 0.017, 0.968, 0.005, 0.094, 0.001
600_0.5_30_0.50, 0.856, 0.004, 0.772, 0.015, 0.967, 0.005, 0.088, 0.000
600_0.5_none_0.01, 0.891, 0.006, 0.806, 0.015, 0.968, 0.003, 0.125, 0.002
600_0.5_none_0.02, 0.887, 0.003, 0.801, 0.016, 0.970, 0.003, 0.118, 0.001
600_0.5_none_0.05, 0.884, 0.004, 0.797, 0.019, 0.968, 0.002, 0.113, 0.001
600_0.5_none_0.10, 0.880, 0.007, 0.796, 0.019, 0.970, 0.004, 0.109, 0.002
600_0.5_none_0.15, 0.878, 0.005, 0.794, 0.018, 0.969, 0.004, 0.107, 0.001
600_0.5_none_0.25, 0.874, 0.004, 0.793, 0.018, 0.967, 0.006, 0.102, 0.001
600_0.5_none_0.50, 0.869, 0.004, 0.783, 0.018, 0.966, 0.007, 0.098, 0.001
600_1.0_4_0.01, 0.758, 0.005, 0.523, 0.015, 0.906, 0.006, 0.053, 0.001
600_1.0_4_0.02, 0.759, 0.009, 0.460, 0.015, 0.904, 0.005, 0.053, 0.001
600_1.0_4_0.05, 0.765, 0.008, 0.412, 0.023, 0.899, 0.005, 0.054, 0.001
600_1.0_4_0.10, 0.765, 0.009, 0.393, 0.025, 0.893, 0.005, 0.055, 0.002
600_1.0_4_0.15, 0.765, 0.009, 0.382, 0.024, 0.890, 0.005, 0.055, 0.002
600_1.0_4_0.25, 0.764, 0.009, 0.353, 0.030, 0.886, 0.004, 0.056, 0.002
600_1.0_4_0.50, 0.769, 0.008, 0.278, 0.040, 0.879, 0.005, 0.058, 0.002
600_1.0_6_0.01, 0.778, 0.004, 0.609, 0.008, 0.926, 0.004, 0.057, 0.001
600_1.0_6_0.02, 0.785, 0.006, 0.576, 0.014, 0.927, 0.006, 0.060, 0.001
600_1.0_6_0.05, 0.789, 0.008, 0.548, 0.014, 0.927, 0.008, 0.061, 0.001
600_1.0_6_0.10, 0.793, 0.010, 0.541, 0.018, 0.929, 0.007, 0.062, 0.002
600_1.0_6_0.15, 0.796, 0.009, 0.533, 0.018, 0.930, 0.006, 0.063, 0.002
600_1.0_6_0.25, 0.798, 0.010, 0.517, 0.019, 0.929, 0.007, 0.064, 0.002
600_1.0_6_0.50, 0.801, 0.009, 0.474, 0.024, 0.924, 0.007, 0.067, 0.002
600_1.0_8_0.01, 0.794, 0.006, 0.662, 0.008, 0.936, 0.005, 0.062, 0.001
600_1.0_8_0.02, 0.806, 0.006, 0.650, 0.008, 0.940, 0.006, 0.067, 0.002
600_1.0_8_0.05, 0.811, 0.005, 0.645, 0.009, 0.942, 0.004, 0.068, 0.001
