ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1)
4000_1.0_6_0.0005,0.755,0.006,0.627,0.008,0.924,0.006,0.051,0.001
4000_1.0_6_0.0009,0.759,0.003,0.622,0.008,0.923,0.003,0.052,0.000
4000_1.0_6_0.0014,0.761,0.002,0.633,0.006,0.923,0.003,0.052,0.001
4000_1.0_6_0.0018,0.765,0.004,0.630,0.008,0.925,0.004,0.053,0.001
4000_1.0_6_0.0023,0.768,0.003,0.636,0.005,0.927,0.004,0.054,0.001
4000_1.0_6_0.0027,0.770,0.005,0.636,0.004,0.927,0.005,0.055,0.001
4000_1.0_6_0.0045,0.775,0.005,0.626,0.002,0.928,0.005,0.056,0.001
4000_1.0_6_0.0100,0.784,0.006,0.605,0.003,0.929,0.007,0.059,0.001
4000_1.0_6_0.0500,0.790,0.008,0.555,0.019,0.930,0.006,0.061,0.001
4000_1.0_6_0.1000,0.793,0.008,0.542,0.020,0.930,0.006,0.062,0.001
4000_1.0_6_0.2000,0.798,0.009,0.527,0.018,0.930,0.006,0.064,0.002
4000_1.0_6_0.5000,0.803,0.009,0.476,0.029,0.925,0.006,0.068,0.002
4000_1.0_12_0.0005,0.780,0.003,0.715,0.012,0.943,0.004,0.057,0.000
4000_1.0_12_0.0009,0.776,0.005,0.714,0.010,0.940,0.006,0.056,0.001
4000_1.0_12_0.0014,0.790,0.003,0.723,0.011,0.945,0.006,0.060,0.001
4000_1.0_12_0.0018,0.799,0.003,0.727,0.009,0.948,0.004,0.063,0.001
4000_1.0_12_0.0023,0.808,0.004,0.730,0.007,0.949,0.004,0.066,0.001
4000_1.0_12_0.0027,0.815,0.003,0.728,0.010,0.949,0.004,0.069,0.001
4000_1.0_12_0.0045,0.828,0.006,0.731,0.010,0.951,0.004,0.076,0.001
4000_1.0_12_0.0100,0.836,0.004,0.734,0.011,0.954,0.003,0.082,0.002
4000_1.0_12_0.0500,0.844,0.005,0.738,0.012,0.957,0.004,0.085,0.002
4000_1.0_12_0.1000,0.849,0.008,0.743,0.012,0.958,0.005,0.088,0.003
4000_1.0_12_0.2000,0.853,0.007,0.744,0.010,0.959,0.005,0.091,0.002
4000_1.0_12_0.5000,0.855,0.003,0.727,0.007,0.958,0.006,0.092,0.001
4000_1.0_24_0.0005,0.828,0.007,0.767,0.013,0.957,0.005,0.075,0.001
4000_1.0_24_0.0009,0.826,0.005,0.767,0.011,0.957,0.005,0.074,0.001
4000_1.0_24_0.0014,0.851,0.004,0.778,0.010,0.961,0.004,0.089,0.002
4000_1.0_24_0.0018,0.864,0.005,0.780,0.011,0.962,0.004,0.100,0.002
4000_1.0_24_0.0023,0.873,0.004,0.783,0.012,0.964,0.002,0.108,0.002
4000_1.0_24_0.0027,0.874,0.007,0.784,0.012,0.965,0.003,0.112,0.003
4000_1.0_24_0.0045,0.885,0.005,0.789,0.012,0.967,0.002,0.125,0.003
4000_1.0_24_0.0100,0.889,0.006,0.793,0.013,0.968,0.002,0.130,0.003
4000_1.0_24_0.0500,0.886,0.006,0.797,0.015,0.969,0.003,0.121,0.002
4000_1.0_24_0.1000,0.883,0.004,0.795,0.016,0.969,0.003,0.117,0.001
4000_1.0_24_0.2000,0.881,0.004,0.791,0.017,0.968,0.004,0.111,0.001
4000_1.0_24_0.5000,0.871,0.004,0.774,0.017,0.967,0.005,0.102,0.001
4000_1.0_none_0.0005,0.912,0.007,0.803,0.017,0.971,0.004,0.171,0.004
4000_1.0_none_0.0009,0.913,0.006,0.801,0.017,0.970,0.004,0.171,0.004
4000_1.0_none_0.0014,0.921,0.006,0.811,0.016,0.972,0.003,0.211,0.003
4000_1.0_none_0.0018,0.921,0.002,0.813,0.015,0.973,0.003,0.199,0.001
4000_1.0_none_0.0023,0.915,0.004,0.814,0.016,0.972,0.005,0.185,0.001
4000_1.0_none_0.0027,0.915,0.004,0.813,0.015,0.972,0.004,0.178,0.002
4000_1.0_none_0.0045,0.912,0.004,0.813,0.016,0.972,0.003,0.167,0.002
4000_1.0_none_0.0100,0.908,0.005,0.813,0.016,0.971,0.003,0.158,0.002
4000_1.0_none_0.0500,0.901,0.005,0.809,0.018,0.971,0.003,0.143,0.002
4000_1.0_none_0.1000,0.898,0.005,0.807,0.019,0.971,0.004,0.137,0.002
4000_1.0_none_0.2000,0.895,0.004,0.803,0.020,0.971,0.004,0.130,0.001
4000_1.0_none_0.5000,0.890,0.005,0.791,0.021,0.969,0.005,0.123,0.001
