PMID
12460667
16218678
19798697
15047621
18285556
20577943
11123988
12824040
14592516
11266168
14741288
12127510
17482824
9722484
17321744
14741257
23587837
15828848
19719247
19921787
18516048
24012711
21215626
21875114
22938093
23473946
22201598
27081033
24548894
25332241
11427503
24393721
21869839
18372923
19223492
2856132
17213201
10370869
20335224
18768478
16540669
17906690
23305919
9593904
16953619
22446092
17996721
15130772
7830065
20637638
17192086
20456960
19845338
20137945
11456223
16371358
12515859
20064719
20056551
18422306
9915790
19027304
18054490
9593947
14521988
18220329
12376616
10320771
17323645
17604167
8839048
17696417
11137820
16854082
8121648
29711574
12885240
11428930
9857086
22883028
25088548
25784492
