mean_decrease_impurity,stdev,feature
0.030474857121961095,0.03181936158764359,desc_MolLogP
0.026944274537002145,0.025270641829188846,desc_BCUT2D_LOGPHI
0.021111032405397204,0.026159264192070597,desc_qed
0.020280759583279587,0.02842900929068765,desc_PEOE_VSA12
0.01989245197730521,0.026484072232155955,desc_BCUT2D_MRHI
0.01983445749606935,0.03175732099941843,desc_fr_amide
0.017292576211679803,0.02057507569032766,desc_SMR_VSA3
0.01613948006010261,0.016157737029708928,desc_BCUT2D_MWLOW
0.014605535391582986,0.013418351361879034,desc_VSA_EState7
0.013961600386283562,0.013863861805293224,desc_BCUT2D_CHGHI
0.011726306855757838,0.015544632169706534,desc_BertzCT
0.011002923071093617,0.011063101153988968,desc_BCUT2D_LOGPLOW
0.010986136289772852,0.012942340179468046,desc_BCUT2D_MRLOW
0.01097427334853117,0.009638616347523261,desc_MaxAbsPartialCharge
0.010571256792717011,0.0181410606622573,desc_RingCount
0.010570874075680246,0.011381763219260245,desc_FractionCSP3
0.01046703301747315,0.013904154075502414,desc_HallKierAlpha
0.010363465039537558,0.009248997526594652,desc_MinPartialCharge
0.010253493066647457,0.01037413791475317,desc_MaxPartialCharge
0.010163574117834402,0.010166189711592931,desc_MinAbsPartialCharge
0.010147760293083686,0.012860914322141462,desc_FpDensityMorgan1
0.010073734597952322,0.010013296586835701,desc_VSA_EState2
0.009605165514912766,0.014004440945002666,desc_Chi2n
0.009358877725385267,0.012861542161423694,desc_SlogP_VSA8
0.009341830759292166,0.00884807350079324,desc_SlogP_VSA2
0.00920186077452356,0.00915618050552106,desc_Kappa3
0.009124526581868037,0.010180123934487735,desc_SlogP_VSA3
0.00908047903822082,0.009611325265925265,desc_BCUT2D_MWHI
0.009064976717945377,0.011666073633349712,desc_Chi4n
0.009057855772652534,0.00815905535690414,desc_VSA_EState3
0.009027456581882698,0.0076138832745136,desc_VSA_EState4
0.008848251648939555,0.007927826736922054,desc_SMR_VSA10
0.00875692315721314,0.009445984139334309,desc_SMR_VSA5
0.0085932936498892,0.00711566283737312,desc_BalabanJ
0.008526068456700127,0.007724126528793087,desc_FpDensityMorgan3
0.008490787249354889,0.01148721458928341,desc_Chi3n
0.008318578861132764,0.008028177173146455,desc_EState_VSA8
0.008233851456091923,0.00747935899339388,desc_PEOE_VSA8
0.008232929218647817,0.008035246193647635,desc_FpDensityMorgan2
0.008206576517841228,0.010029882900893303,desc_SMR_VSA7
0.008124943257359499,0.007549455385883915,desc_MinEStateIndex
0.008102431697102947,0.008154767874232449,desc_PEOE_VSA9
0.00782630512459656,0.010846699372328308,desc_Chi1
0.007799569898635037,0.007704944593109122,desc_VSA_EState8
0.007777247681388015,0.0073634354181078745,desc_BCUT2D_CHGLO
0.007740603840290004,0.009811143207370436,desc_PEOE_VSA2
0.00773258202375568,0.007504263146483909,desc_TPSA
0.007689904811153081,0.015177467123147052,desc_fr_NH1
0.007615334010324891,0.006849062693648139,desc_SlogP_VSA5
0.00755818461506008,0.006889183396256047,desc_PEOE_VSA1
0.007522238616782274,0.010445911124517537,desc_MolMR
0.0074760944297050675,0.006587704214695293,desc_Kappa2
0.0073325294888576574,0.006037329737617444,desc_MaxAbsEStateIndex
0.007325555823499776,0.0060148116269268205,desc_MaxEStateIndex
0.007295482719412455,0.013118530314384882,desc_fr_bicyclic
0.007228472412925121,0.005936643597914532,desc_VSA_EState5
0.0071365538061245164,0.011778821988011001,desc_fr_NH0
0.007094989853852768,0.0071525584668973834,desc_SMR_VSA6
0.007032198141944503,0.007109302975961083,desc_PEOE_VSA10
0.0068079735138723025,0.0083024128844662,desc_Chi0n
0.006779390640060348,0.007765511300902454,desc_SlogP_VSA6
0.006755194710979851,0.007998166229807535,desc_Chi1n
0.00675426647148587,0.005618198440641274,desc_MinAbsEStateIndex
0.006709370846605594,0.0066652559945818615,desc_EState_VSA2
0.006670492008406135,0.009684948593007293,desc_VSA_EState9
0.006502223151647958,0.013722535847270014,desc_NumAromaticRings
0.006483325139576422,0.006355113355686922,desc_VSA_EState6
0.006432885064456111,0.008218264750296436,desc_SlogP_VSA10
0.006115366500703651,0.008592400748698005,desc_LabuteASA
0.00589732885588687,0.013095507112944564,desc_fr_benzene
0.005843432448929696,0.009785942628475618,desc_NOCount
0.005831053298832826,0.005416594778237262,desc_Chi4v
0.005825937984715899,0.007775783860186427,desc_HeavyAtomMolWt
0.005810329124460946,0.005077215881636758,desc_PEOE_VSA7
0.005803988289552498,0.004936482759602255,desc_EState_VSA3
0.005739439677706122,0.005807386544008745,desc_Chi2v
0.005719936107756859,0.0067107045008054835,desc_Chi0v
0.005661900448235562,0.0057505872548393455,desc_SlogP_VSA1
0.005611364568930375,0.005474511659945329,desc_Chi3v
0.005583493991410093,0.007851874557083301,desc_PEOE_VSA13
0.005527671557054977,0.007375219051842981,desc_Chi0
0.005524064875734857,0.005211338594961338,desc_Kappa1
0.005523790649538728,0.011259885372171421,desc_fr_C_O
0.005493296107493825,0.0052195704047546775,desc_PEOE_VSA6
0.005460438507924554,0.009302309296556803,desc_fr_aryl_methyl
0.0054282797276897585,0.011325438004748787,desc_fr_C_O_noCOO
0.005411209070828212,0.006956859882966945,desc_ExactMolWt
0.005368171191495135,0.004735381568079759,desc_VSA_EState1
0.005331596967363027,0.006572489509257842,desc_MolWt
0.005311984594741804,0.006028501252885799,desc_PEOE_VSA3
0.005179069700743768,0.005693513217323163,desc_SMR_VSA1
0.005171137535280364,0.00449165127278666,desc_EState_VSA4
0.005141512964014683,0.004990645735610285,desc_Chi1v
