mean_decrease_impurity,stdev,feature
0.029031615224235315,0.030919290776395863,desc_MolLogP
0.02616888232706454,0.025279841421519893,desc_BCUT2D_LOGPHI
0.021293147282187428,0.029805302434238016,desc_PEOE_VSA12
0.021075045935201316,0.02835098928821242,desc_BCUT2D_MRHI
0.021017099102017562,0.025480277960168062,desc_qed
0.018195017137845285,0.030469620458011847,desc_fr_amide
0.01638700104173151,0.02075996942438863,desc_SMR_VSA3
0.015048975013428976,0.01591896654295345,desc_BCUT2D_MWLOW
0.014050906843096511,0.013266319710807443,desc_VSA_EState7
0.013454880895513204,0.014161622123839897,desc_BCUT2D_CHGHI
0.012396442969764884,0.01697047666357802,desc_BertzCT
0.010986022951342218,0.014842765051166879,desc_HallKierAlpha
0.01091748916800207,0.012773792113823101,desc_BCUT2D_MRLOW
0.01088306588862928,0.012312537115373922,desc_FractionCSP3
0.010868289727791452,0.011342864518113399,desc_MinAbsPartialCharge
0.010806575021058692,0.010011679072694176,desc_MinPartialCharge
0.010583949188983992,0.009890426956736174,desc_MaxAbsPartialCharge
0.01055743649398555,0.011153022060544547,desc_BCUT2D_LOGPLOW
0.010464011149847853,0.010554283211915821,desc_VSA_EState2
0.010328735626780348,0.013376849614444066,desc_FpDensityMorgan1
0.010286097169670057,0.010629871963968892,desc_MaxPartialCharge
0.009431901007740115,0.016789634988678383,desc_RingCount
0.009420751624797752,0.009415579196181642,desc_SlogP_VSA2
0.009378076706739449,0.010055189758020862,desc_Kappa3
0.009304076991021492,0.010236172550809131,desc_BCUT2D_MWHI
0.009216909492245953,0.01326260396674382,desc_Chi2n
0.009147515252578354,0.0125530798143533,desc_SlogP_VSA8
0.009142794597799018,0.008634221663802353,desc_SMR_VSA10
0.009089693438597488,0.008248154446851917,desc_VSA_EState4
0.00895154653174062,0.010072912496815103,desc_SlogP_VSA3
0.008921343413053076,0.008723051560102951,desc_VSA_EState3
0.008918822369126157,0.008724950752584525,desc_PEOE_VSA8
0.008666828431633404,0.011209901556623266,desc_Chi4n
0.008664183886930908,0.00934466734371733,desc_SMR_VSA5
0.00858737938137644,0.00766895728646019,desc_BalabanJ
0.008553492792064386,0.010654734023225152,desc_SMR_VSA7
0.008314034427728018,0.008837330662237812,desc_PEOE_VSA9
0.008291331413127847,0.008266570123518252,desc_EState_VSA8
0.008259366298711721,0.01615496841997095,desc_fr_NH1
0.00824038439951675,0.008691773987198982,desc_FpDensityMorgan2
0.008235313988500133,0.00767325008768146,desc_FpDensityMorgan3
0.008097609536467217,0.007944198998595407,desc_PEOE_VSA1
0.00798226720996538,0.01058008687008994,desc_Chi3n
0.007942985416426194,0.007585114254416494,desc_MinEStateIndex
0.0079255345151962,0.01073525627886187,desc_MolMR
0.00780283549345551,0.007968918296418936,desc_VSA_EState8
0.007691519217930279,0.007952589332180134,desc_TPSA
0.007618478187727934,0.0074118228487472715,desc_BCUT2D_CHGLO
0.00760601145562362,0.007050355024403285,desc_Kappa2
0.0075894486395316875,0.010642371755838775,desc_Chi1
0.0075146851040800685,0.00819893026938503,desc_PEOE_VSA10
0.007504275583588315,0.00791601120583095,desc_SMR_VSA6
0.007396212587756884,0.006607047888172063,desc_MaxAbsEStateIndex
0.0073763664739566704,0.00931022491058996,desc_PEOE_VSA2
0.007282360002640038,0.006457444726605635,desc_VSA_EState5
0.007192405645416946,0.006226260956064119,desc_MaxEStateIndex
0.007176988012953514,0.006803749044258486,desc_SlogP_VSA5
0.007056940039338723,0.00818407577882998,desc_SlogP_VSA6
0.006975441583920479,0.012482859360763572,desc_fr_bicyclic
0.006864714975040476,0.006034732547309534,desc_MinAbsEStateIndex
0.006845603200054683,0.01166399291923283,desc_fr_NH0
0.006838229222787446,0.008229186282611338,desc_Chi0n
0.006601504878421874,0.0076443408129595125,desc_Chi1n
0.006586515614102619,0.006769098407554106,desc_EState_VSA2
0.006424292707467354,0.006571873184789374,desc_VSA_EState6
0.006360963783816193,0.008865608904779393,desc_LabuteASA
0.006325846869730214,0.013634520346923015,desc_NumAromaticRings
0.0062720451539214845,0.009801501974452996,desc_VSA_EState9
0.006105584880170853,0.010739615333802523,desc_fr_aryl_methyl
0.006096058961682021,0.005621002514566085,desc_PEOE_VSA7
0.006079295207246359,0.008099277373104395,desc_HeavyAtomMolWt
0.005985279036908892,0.006352591413310485,desc_SlogP_VSA1
0.005918173523223972,0.007348782532994994,desc_MolWt
0.005876052912227374,0.009901755940106255,desc_NOCount
0.005874374591752254,0.0075736124973178436,desc_SlogP_VSA10
0.005870698707088645,0.0052550152897207,desc_EState_VSA3
0.005859306310636369,0.007258280036012086,desc_Chi0v
0.005832585173232741,0.005751826916495866,desc_Chi4v
0.005756295116416766,0.011869076564333234,desc_fr_C_O_noCOO
0.005724617030131702,0.005945129320171007,desc_Chi2v
0.005723377906959049,0.00580283774323703,desc_Chi3v
0.005696195639657904,0.005657491648978163,desc_Kappa1
0.005692778775445943,0.007533176322037592,desc_Chi0
0.005688649817501551,0.007234498677331572,desc_ExactMolWt
0.0056603152163231495,0.011999448961068335,desc_fr_C_O
0.005525400104193529,0.005444594279062209,desc_PEOE_VSA6
0.005495790161846211,0.006414690745324697,desc_SMR_VSA1
0.005460081837593485,0.00782047895727291,desc_PEOE_VSA13
0.005455358061338447,0.007706014295921838,desc_SMR_VSA9
0.005418804393232566,0.006284068236019702,desc_PEOE_VSA3
0.005396842801464594,0.005221542977774282,desc_VSA_EState1
0.005340378102159864,0.00551658803591462,desc_Chi1v
0.0050913099298911645,0.01181729359588023,desc_fr_benzene
