c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
5.000_sigmoid_scale_0.3_both,0.778,0.011,0.125,0.013,0.85,0.006,0.094,0.002,sigmoid,both,5.0,scale,,0.3,0.4875
5.000_sigmoid_auto_0.3_both,0.777,0.012,0.124,0.014,0.848,0.004,0.093,0.002,sigmoid,both,5.0,auto,,0.3,0.486
2.000_sigmoid_auto_1.0_both,0.782,0.025,0.12,0.031,0.85,0.018,0.08,0.004,sigmoid,both,2.0,auto,,1.0,0.485
5.000_sigmoid_auto_1.0_both,0.775,0.018,0.118,0.026,0.85,0.018,0.077,0.004,sigmoid,both,5.0,auto,,1.0,0.484
2.000_sigmoid_scale_1.0_both,0.782,0.023,0.116,0.028,0.849,0.017,0.08,0.003,sigmoid,both,2.0,scale,,1.0,0.4825
10.000_sigmoid_auto_1.0_both,0.765,0.023,0.115,0.031,0.834,0.025,0.075,0.005,sigmoid,both,10.0,auto,,1.0,0.4745
5.000_sigmoid_scale_1.0_both,0.778,0.019,0.102,0.024,0.844,0.017,0.077,0.004,sigmoid,both,5.0,scale,,1.0,0.473
30.000_sigmoid_auto_3.0_both,0.762,0.018,0.104,0.017,0.837,0.021,0.075,0.005,sigmoid,both,30.0,auto,,3.0,0.4705
30.000_sigmoid_scale_3.0_both,0.764,0.024,0.104,0.018,0.836,0.023,0.075,0.005,sigmoid,both,30.0,scale,,3.0,0.47
10.000_sigmoid_scale_1.0_both,0.752,0.012,0.103,0.015,0.831,0.019,0.072,0.003,sigmoid,both,10.0,scale,,1.0,0.4669999999999999
30.000_sigmoid_auto_1.0_both,0.754,0.014,0.099,0.014,0.826,0.017,0.071,0.002,sigmoid,both,30.0,auto,,1.0,0.4624999999999999
30.000_sigmoid_scale_1.0_both,0.75,0.017,0.096,0.013,0.824,0.018,0.071,0.003,sigmoid,both,30.0,scale,,1.0,0.4599999999999999
5.000_sigmoid_scale_10.0_both,0.5,0.0,0.103,0.036,0.809,0.026,0.024,0.0,sigmoid,both,5.0,scale,,10.0,0.456
2.000_sigmoid_scale_1.0_both,0.745,0.011,0.093,0.013,0.818,0.013,0.074,0.002,sigmoid,both,2.0,scale,,1.0,0.4554999999999999
2.000_sigmoid_scale_10.0_both,0.5,0.0,0.102,0.035,0.808,0.026,0.024,0.0,sigmoid,both,2.0,scale,,10.0,0.455
2.000_sigmoid_auto_1.0_both,0.754,0.008,0.092,0.017,0.818,0.013,0.076,0.001,sigmoid,both,2.0,auto,,1.0,0.4549999999999999
5.000_sigmoid_scale_1.0_both,0.74,0.008,0.09,0.013,0.814,0.013,0.072,0.002,sigmoid,both,5.0,scale,,1.0,0.4519999999999999
5.000_sigmoid_auto_1.0_both,0.74,0.007,0.09,0.013,0.812,0.015,0.072,0.001,sigmoid,both,5.0,auto,,1.0,0.451
2.000_sigmoid_auto_10.0_both,0.5,0.0,0.095,0.033,0.803,0.032,0.024,0.0,sigmoid,both,2.0,auto,,10.0,0.449
5.000_sigmoid_auto_10.0_both,0.5,0.0,0.096,0.033,0.802,0.032,0.024,0.0,sigmoid,both,5.0,auto,,10.0,0.449
0.500_sigmoid_scale_10.0_both,0.5,0.0,0.087,0.024,0.808,0.019,0.022,0.0,sigmoid,both,0.5,scale,,10.0,0.4475
1.000_sigmoid_scale_10.0_both,0.5,0.0,0.087,0.024,0.808,0.019,0.022,0.0,sigmoid,both,1.0,scale,,10.0,0.4475
1.000_sigmoid_auto_10.0_both,0.5,0.0,0.083,0.017,0.802,0.015,0.022,0.0,sigmoid,both,1.0,auto,,10.0,0.4425
0.500_sigmoid_auto_10.0_both,0.5,0.0,0.082,0.017,0.802,0.015,0.022,0.0,sigmoid,both,0.5,auto,,10.0,0.442
10.000_sigmoid_scale_10.0_both,0.5,0.0,0.077,0.02,0.8,0.024,0.024,0.0,sigmoid,both,10.0,scale,,10.0,0.4385
30.000_sigmoid_scale_10.0_both,0.5,0.0,0.072,0.018,0.804,0.027,0.024,0.0,sigmoid,both,30.0,scale,,10.0,0.438
10.000_sigmoid_auto_10.0_both,0.5,0.0,0.076,0.017,0.799,0.024,0.024,0.0,sigmoid,both,10.0,auto,,10.0,0.4375
30.000_sigmoid_auto_10.0_both,0.5,0.0,0.073,0.016,0.8,0.024,0.024,0.0,sigmoid,both,30.0,auto,,10.0,0.4365
0.100_sigmoid_auto_10.0_both,0.5,0.0,0.076,0.015,0.781,0.021,0.024,0.0,sigmoid,both,0.1,auto,,10.0,0.4285
0.100_sigmoid_scale_10.0_both,0.5,0.0,0.078,0.017,0.777,0.022,0.024,0.0,sigmoid,both,0.1,scale,,10.0,0.4275
5.000_sigmoid_auto_10.0_both,0.5,0.0,0.075,0.016,0.778,0.021,0.025,0.0,sigmoid,both,5.0,auto,,10.0,0.4265
2.000_sigmoid_scale_10.0_both,0.5,0.0,0.074,0.014,0.776,0.018,0.025,0.0,sigmoid,both,2.0,scale,,10.0,0.425
5.000_sigmoid_scale_10.0_both,0.5,0.0,0.074,0.014,0.776,0.018,0.025,0.0,sigmoid,both,5.0,scale,,10.0,0.425
2.000_sigmoid_auto_10.0_both,0.5,0.0,0.073,0.013,0.776,0.018,0.025,0.0,sigmoid,both,2.0,auto,,10.0,0.4245
10.000_sigmoid_scale_-10.0_desc,0.5,0.002,0.357,0.057,0.833,0.041,0.024,0.0,sigmoid,desc,10.0,scale,,-10.0,0.595
10.000_sigmoid_auto_-10.0_desc,0.496,0.007,0.349,0.024,0.837,0.034,0.024,0.0,sigmoid,desc,10.0,auto,,-10.0,0.593
5.000_sigmoid_scale_-10.0_desc,0.497,0.007,0.335,0.027,0.831,0.043,0.024,0.0,sigmoid,desc,5.0,scale,,-10.0,0.583
5.000_sigmoid_auto_-10.0_desc,0.496,0.007,0.304,0.079,0.827,0.042,0.024,0.0,sigmoid,desc,5.0,auto,,-10.0,0.5655
1.000_sigmoid_auto_-10.0_desc,0.501,0.0,0.261,0.079,0.825,0.047,0.024,0.0,sigmoid,desc,1.0,auto,,-10.0,0.5429999999999999
1.000_sigmoid_scale_-10.0_desc,0.499,0.002,0.229,0.054,0.822,0.045,0.024,0.0,sigmoid,desc,1.0,scale,,-10.0,0.5255
0.001_sigmoid_scale_-1.0_desc,0.678,0.036,0.177,0.056,0.833,0.031,0.149,0.023,sigmoid,desc,0.001,scale,,-1.0,0.505
0.001_sigmoid_auto_-1.0_desc,0.677,0.037,0.178,0.056,0.832,0.032,0.159,0.025,sigmoid,desc,0.001,auto,,-1.0,0.505
10.000_sigmoid_scale_-6.0_desc,0.622,0.018,0.17,0.024,0.834,0.011,0.281,0.04,sigmoid,desc,10.0,scale,,-6.0,0.502
10.000_sigmoid_auto_-6.0_desc,0.619,0.017,0.172,0.028,0.831,0.014,0.281,0.04,sigmoid,desc,10.0,auto,,-6.0,0.5015
5.000_sigmoid_scale_-6.0_desc,0.602,0.009,0.16,0.023,0.825,0.013,0.272,0.027,sigmoid,desc,5.0,scale,,-6.0,0.4925
5.000_sigmoid_auto_-6.0_desc,0.599,0.012,0.162,0.027,0.82,0.015,0.276,0.035,sigmoid,desc,5.0,auto,,-6.0,0.491
0.001_sigmoid_scale_-1.0_desc,0.694,0.041,0.154,0.029,0.822,0.022,0.157,0.033,sigmoid,desc,0.001,scale,,-1.0,0.488
0.001_sigmoid_auto_-1.0_desc,0.687,0.039,0.152,0.029,0.821,0.021,0.157,0.034,sigmoid,desc,0.001,auto,,-1.0,0.4865
1.000_sigmoid_auto_-3.0_desc,0.816,0.024,0.101,0.015,0.869,0.023,0.163,0.017,sigmoid,desc,1.0,auto,,-3.0,0.485
1.000_sigmoid_scale_-3.0_desc,0.813,0.026,0.099,0.014,0.867,0.024,0.162,0.019,sigmoid,desc,1.0,scale,,-3.0,0.483
1.000_sigmoid_scale_-6.0_desc,0.563,0.014,0.146,0.028,0.801,0.011,0.203,0.044,sigmoid,desc,1.0,scale,,-6.0,0.4735
1.000_sigmoid_auto_-6.0_desc,0.561,0.015,0.143,0.029,0.796,0.012,0.198,0.048,sigmoid,desc,1.0,auto,,-6.0,0.4695
5.000_sigmoid_auto_-3.0_desc,0.801,0.011,0.084,0.01,0.836,0.022,0.153,0.017,sigmoid,desc,5.0,auto,,-3.0,0.4599999999999999
5.000_sigmoid_scale_-3.0_desc,0.787,0.03,0.088,0.023,0.821,0.034,0.161,0.049,sigmoid,desc,5.0,scale,,-3.0,0.4544999999999999
0.001_sigmoid_auto_0.0_desc,0.736,0.033,0.108,0.021,0.8,0.036,0.07,0.005,sigmoid,desc,0.001,auto,,0.0,0.454
0.010_sigmoid_auto_-1.0_desc,0.767,0.017,0.073,0.016,0.83,0.011,0.081,0.003,sigmoid,desc,0.01,auto,,-1.0,0.4514999999999999
0.001_sigmoid_scale_0.0_desc,0.737,0.032,0.103,0.019,0.798,0.034,0.068,0.004,sigmoid,desc,0.001,scale,,0.0,0.4505
0.001_sigmoid_auto_0.0_desc,0.732,0.023,0.095,0.016,0.804,0.022,0.068,0.002,sigmoid,desc,0.001,auto,,0.0,0.4495
0.001_sigmoid_scale_0.0_desc,0.731,0.022,0.094,0.016,0.804,0.022,0.066,0.002,sigmoid,desc,0.001,scale,,0.0,0.449
0.010_sigmoid_scale_-1.0_desc,0.76,0.019,0.069,0.016,0.818,0.01,0.077,0.002,sigmoid,desc,0.01,scale,,-1.0,0.4435
10.000_sigmoid_auto_-3.0_desc,0.774,0.031,0.076,0.012,0.809,0.035,0.134,0.024,sigmoid,desc,10.0,auto,,-3.0,0.4425
0.001_sigmoid_auto_0.3_desc,0.714,0.026,0.087,0.017,0.787,0.024,0.057,0.002,sigmoid,desc,0.001,auto,,0.3,0.437
0.001_sigmoid_scale_0.3_desc,0.713,0.028,0.085,0.016,0.786,0.024,0.055,0.002,sigmoid,desc,0.001,scale,,0.3,0.4355
10.000_sigmoid_scale_-3.0_desc,0.772,0.027,0.073,0.008,0.798,0.031,0.132,0.025,sigmoid,desc,10.0,scale,,-3.0,0.4355
0.001_sigmoid_auto_0.3_desc,0.706,0.035,0.089,0.016,0.771,0.039,0.054,0.005,sigmoid,desc,0.001,auto,,0.3,0.43
0.010_sigmoid_auto_-1.0_desc,0.742,0.019,0.052,0.008,0.801,0.029,0.07,0.003,sigmoid,desc,0.01,auto,,-1.0,0.4265
0.001_sigmoid_scale_0.3_desc,0.705,0.033,0.084,0.014,0.768,0.039,0.053,0.004,sigmoid,desc,0.001,scale,,0.3,0.426
1.000_sigmoid_auto_-2.0_desc,0.757,0.03,0.049,0.009,0.8,0.033,0.088,0.009,sigmoid,desc,1.0,auto,,-2.0,0.4245
0.010_sigmoid_scale_-1.0_desc,0.735,0.02,0.048,0.009,0.795,0.028,0.066,0.003,sigmoid,desc,0.01,scale,,-1.0,0.4215
1.000_sigmoid_scale_-2.0_desc,0.757,0.03,0.047,0.009,0.796,0.031,0.086,0.009,sigmoid,desc,1.0,scale,,-2.0,0.4215
0.001_sigmoid_scale_1.0_desc,0.682,0.026,0.093,0.023,0.748,0.028,0.048,0.003,sigmoid,desc,0.001,scale,,1.0,0.4205
0.001_sigmoid_auto_1.0_desc,0.683,0.027,0.093,0.022,0.747,0.028,0.049,0.003,sigmoid,desc,0.001,auto,,1.0,0.42
0.001_sigmoid_auto_1.0_desc,0.674,0.03,0.096,0.022,0.735,0.043,0.046,0.004,sigmoid,desc,0.001,auto,,1.0,0.4155
0.001_sigmoid_scale_1.0_desc,0.67,0.032,0.093,0.021,0.734,0.043,0.045,0.004,sigmoid,desc,0.001,scale,,1.0,0.4135
5.000_sigmoid_auto_-2.0_desc,0.726,0.043,0.046,0.009,0.779,0.036,0.077,0.011,sigmoid,desc,5.0,auto,,-2.0,0.4125
5.000_sigmoid_scale_-2.0_desc,0.727,0.04,0.044,0.009,0.778,0.034,0.076,0.01,sigmoid,desc,5.0,scale,,-2.0,0.411
10.000_sigmoid_scale_-2.0_desc,0.723,0.04,0.044,0.009,0.776,0.034,0.074,0.009,sigmoid,desc,10.0,scale,,-2.0,0.41
10.000_sigmoid_auto_-2.0_desc,0.722,0.04,0.045,0.009,0.775,0.036,0.075,0.01,sigmoid,desc,10.0,auto,,-2.0,0.41
0.100_sigmoid_auto_-1.0_desc,0.733,0.012,0.051,0.015,0.768,0.007,0.061,0.001,sigmoid,desc,0.1,auto,,-1.0,0.4095
0.001_sigmoid_auto_3.0_desc,0.5,0.0,0.093,0.017,0.716,0.031,0.009,0.011,sigmoid,desc,0.001,auto,,3.0,0.4044999999999999
0.010_sigmoid_auto_3.0_desc,0.532,0.027,0.093,0.017,0.716,0.031,0.072,0.062,sigmoid,desc,0.01,auto,,3.0,0.4044999999999999
10.000_sigmoid_auto_10.0_desc,0.5,0.0,0.093,0.017,0.716,0.031,0.004,0.009,sigmoid,desc,10.0,auto,,10.0,0.4044999999999999
0.001_sigmoid_scale_3.0_desc,0.5,0.0,0.093,0.017,0.715,0.031,0.009,0.011,sigmoid,desc,0.001,scale,,3.0,0.4039999999999999
0.010_sigmoid_scale_3.0_desc,0.551,0.035,0.093,0.017,0.715,0.031,0.061,0.046,sigmoid,desc,0.01,scale,,3.0,0.4039999999999999
10.000_sigmoid_scale_10.0_desc,0.5,0.0,0.093,0.017,0.715,0.031,0.004,0.009,sigmoid,desc,10.0,scale,,10.0,0.4039999999999999
0.100_sigmoid_scale_-1.0_desc,0.723,0.01,0.049,0.014,0.758,0.008,0.058,0.001,sigmoid,desc,0.1,scale,,-1.0,0.4035
0.001_sigmoid_auto_3.0_desc,0.5,0.0,0.098,0.033,0.706,0.047,0.019,0.009,sigmoid,desc,0.001,auto,,3.0,0.4019999999999999
0.010_sigmoid_auto_3.0_desc,0.613,0.052,0.098,0.033,0.706,0.047,0.093,0.054,sigmoid,desc,0.01,auto,,3.0,0.4019999999999999
1.000_sigmoid_auto_-1.0_desc,0.711,0.013,0.047,0.013,0.756,0.008,0.057,0.001,sigmoid,desc,1.0,auto,,-1.0,0.4015
0.010_sigmoid_scale_3.0_desc,0.596,0.056,0.097,0.032,0.705,0.047,0.119,0.058,sigmoid,desc,0.01,scale,,3.0,0.4009999999999999
0.001_sigmoid_scale_3.0_desc,0.5,0.0,0.097,0.032,0.703,0.047,0.019,0.009,sigmoid,desc,0.001,scale,,3.0,0.3999999999999999
1.000_sigmoid_scale_-1.0_desc,0.702,0.016,0.047,0.014,0.749,0.008,0.055,0.001,sigmoid,desc,1.0,scale,,-1.0,0.398
0.100_sigmoid_auto_-1.0_desc,0.704,0.026,0.036,0.005,0.741,0.029,0.051,0.003,sigmoid,desc,0.1,auto,,-1.0,0.3885
0.100_sigmoid_scale_-1.0_desc,0.699,0.025,0.037,0.006,0.736,0.029,0.05,0.003,sigmoid,desc,0.1,scale,,-1.0,0.3865
1.000_sigmoid_auto_-1.0_desc,0.685,0.039,0.035,0.005,0.73,0.028,0.048,0.005,sigmoid,desc,1.0,auto,,-1.0,0.3825
10.000_sigmoid_auto_-1.0_desc,0.68,0.039,0.035,0.005,0.728,0.028,0.047,0.005,sigmoid,desc,10.0,auto,,-1.0,0.3815
1.000_sigmoid_scale_-1.0_desc,0.68,0.036,0.035,0.005,0.723,0.026,0.047,0.004,sigmoid,desc,1.0,scale,,-1.0,0.379
10.000_sigmoid_scale_-1.0_desc,0.671,0.037,0.035,0.005,0.721,0.026,0.046,0.005,sigmoid,desc,10.0,scale,,-1.0,0.378
0.100_sigmoid_auto_3.0_desc,0.598,0.018,0.054,0.012,0.673,0.027,0.03,0.001,sigmoid,desc,0.1,auto,,3.0,0.3635
0.010_sigmoid_auto_0.0_desc,0.668,0.022,0.039,0.005,0.687,0.03,0.044,0.002,sigmoid,desc,0.01,auto,,0.0,0.363
0.010_sigmoid_scale_0.0_desc,0.662,0.028,0.038,0.005,0.683,0.031,0.043,0.003,sigmoid,desc,0.01,scale,,0.0,0.3605
0.100_sigmoid_scale_3.0_desc,0.591,0.015,0.05,0.011,0.665,0.027,0.03,0.001,sigmoid,desc,0.1,scale,,3.0,0.3575
0.010_sigmoid_auto_0.0_desc,0.648,0.022,0.037,0.005,0.674,0.02,0.043,0.003,sigmoid,desc,0.01,auto,,0.0,0.3555
0.010_sigmoid_scale_0.0_desc,0.647,0.024,0.036,0.004,0.669,0.022,0.043,0.003,sigmoid,desc,0.01,scale,,0.0,0.3525
0.010_sigmoid_auto_0.3_desc,0.635,0.027,0.036,0.007,0.655,0.034,0.038,0.003,sigmoid,desc,0.01,auto,,0.3,0.3455
0.001_sigmoid_0.1_-1.0_desc,0.605,0.032,0.029,0.005,0.659,0.022,0.033,0.004,sigmoid,desc,0.001,0.1,,-1.0,0.344
0.010_sigmoid_scale_0.3_desc,0.629,0.027,0.035,0.007,0.653,0.033,0.037,0.003,sigmoid,desc,0.01,scale,,0.3,0.344
0.100_sigmoid_auto_3.0_desc,0.576,0.019,0.043,0.005,0.64,0.024,0.03,0.002,sigmoid,desc,0.1,auto,,3.0,0.3415
0.001_sigmoid_0.1_0.0_desc,0.599,0.037,0.028,0.006,0.655,0.024,0.032,0.004,sigmoid,desc,0.001,0.1,,0.0,0.3415
0.001_sigmoid_0.1_0.3_desc,0.599,0.026,0.028,0.005,0.653,0.02,0.032,0.003,sigmoid,desc,0.001,0.1,,0.3,0.3405
0.001_sigmoid_0.1_-1.0_desc,0.603,0.018,0.025,0.005,0.655,0.015,0.035,0.003,sigmoid,desc,0.001,0.1,,-1.0,0.34
0.100_sigmoid_auto_0.0_desc,0.635,0.036,0.027,0.004,0.649,0.036,0.038,0.004,sigmoid,desc,0.1,auto,,0.0,0.338
0.001_sigmoid_0.1_1.0_desc,0.609,0.019,0.025,0.004,0.65,0.011,0.032,0.002,sigmoid,desc,0.001,0.1,,1.0,0.3375
0.100_sigmoid_scale_0.0_desc,0.634,0.038,0.026,0.004,0.647,0.037,0.037,0.004,sigmoid,desc,0.1,scale,,0.0,0.3365
0.001_sigmoid_0.5_0.3_desc,0.596,0.033,0.026,0.004,0.646,0.02,0.032,0.003,sigmoid,desc,0.001,0.5,,0.3,0.336
0.001_sigmoid_0.5_-1.0_desc,0.593,0.035,0.026,0.005,0.645,0.025,0.032,0.004,sigmoid,desc,0.001,0.5,,-1.0,0.3355
0.100_sigmoid_auto_0.0_desc,0.615,0.02,0.03,0.003,0.64,0.021,0.037,0.002,sigmoid,desc,0.1,auto,,0.0,0.335
1.000_sigmoid_auto_0.0_desc,0.633,0.035,0.026,0.003,0.644,0.036,0.037,0.004,sigmoid,desc,1.0,auto,,0.0,0.335
1.000_sigmoid_scale_0.0_desc,0.631,0.035,0.026,0.004,0.643,0.037,0.037,0.004,sigmoid,desc,1.0,scale,,0.0,0.3345
10.000_sigmoid_auto_0.0_desc,0.631,0.033,0.026,0.003,0.643,0.036,0.037,0.004,sigmoid,desc,10.0,auto,,0.0,0.3345
10.000_sigmoid_scale_0.0_desc,0.631,0.035,0.026,0.004,0.642,0.037,0.037,0.004,sigmoid,desc,10.0,scale,,0.0,0.334
0.100_sigmoid_scale_0.0_desc,0.612,0.023,0.03,0.003,0.637,0.022,0.036,0.002,sigmoid,desc,0.1,scale,,0.0,0.3335
1.000_sigmoid_auto_0.0_desc,0.609,0.023,0.031,0.005,0.636,0.021,0.036,0.002,sigmoid,desc,1.0,auto,,0.0,0.3335
0.001_sigmoid_0.5_0.0_desc,0.586,0.024,0.025,0.005,0.642,0.019,0.03,0.002,sigmoid,desc,0.001,0.5,,0.0,0.3335
0.001_sigmoid_0.5_1.0_desc,0.59,0.024,0.025,0.005,0.642,0.019,0.031,0.002,sigmoid,desc,0.001,0.5,,1.0,0.3335
0.100_sigmoid_scale_3.0_desc,0.57,0.019,0.037,0.005,0.628,0.023,0.029,0.002,sigmoid,desc,0.1,scale,,3.0,0.3325
0.001_sigmoid_0.1_0.0_desc,0.597,0.006,0.023,0.002,0.641,0.007,0.034,0.001,sigmoid,desc,0.001,0.1,,0.0,0.332
0.010_sigmoid_auto_1.0_desc,0.608,0.023,0.034,0.007,0.63,0.032,0.034,0.002,sigmoid,desc,0.01,auto,,1.0,0.332
0.001_sigmoid_0.1_1.0_desc,0.598,0.014,0.023,0.002,0.64,0.006,0.034,0.002,sigmoid,desc,0.001,0.1,,1.0,0.3315
1.000_sigmoid_scale_0.0_desc,0.61,0.024,0.03,0.005,0.633,0.022,0.036,0.002,sigmoid,desc,1.0,scale,,0.0,0.3315
0.001_sigmoid_0.1_0.3_desc,0.589,0.014,0.023,0.005,0.639,0.013,0.033,0.002,sigmoid,desc,0.001,0.1,,0.3,0.331
0.010_sigmoid_auto_0.3_desc,0.616,0.019,0.032,0.002,0.63,0.026,0.038,0.002,sigmoid,desc,0.01,auto,,0.3,0.331
0.010_sigmoid_scale_1.0_desc,0.604,0.023,0.033,0.007,0.626,0.032,0.033,0.002,sigmoid,desc,0.01,scale,,1.0,0.3295
0.001_sigmoid_0.5_-1.0_desc,0.591,0.01,0.023,0.003,0.635,0.007,0.033,0.001,sigmoid,desc,0.001,0.5,,-1.0,0.329
0.001_sigmoid_0.5_3.0_desc,0.588,0.016,0.024,0.005,0.634,0.016,0.03,0.001,sigmoid,desc,0.001,0.5,,3.0,0.329
0.001_sigmoid_0.5_0.0_desc,0.591,0.013,0.023,0.003,0.634,0.007,0.033,0.002,sigmoid,desc,0.001,0.5,,0.0,0.3285
0.010_sigmoid_scale_0.3_desc,0.611,0.019,0.031,0.002,0.625,0.026,0.037,0.002,sigmoid,desc,0.01,scale,,0.3,0.328
0.001_sigmoid_0.5_3.0_desc,0.586,0.013,0.022,0.001,0.633,0.006,0.032,0.002,sigmoid,desc,0.001,0.5,,3.0,0.3275
0.100_sigmoid_auto_0.3_desc,0.607,0.034,0.028,0.005,0.627,0.038,0.033,0.003,sigmoid,desc,0.1,auto,,0.3,0.3275
0.001_sigmoid_0.5_1.0_desc,0.584,0.02,0.023,0.002,0.631,0.016,0.032,0.002,sigmoid,desc,0.001,0.5,,1.0,0.327
0.100_sigmoid_scale_0.3_desc,0.604,0.034,0.028,0.005,0.625,0.039,0.033,0.003,sigmoid,desc,0.1,scale,,0.3,0.3265
0.100_sigmoid_0.1_0.0_desc,0.6,0.024,0.029,0.013,0.623,0.016,0.032,0.002,sigmoid,desc,0.1,0.1,,0.0,0.326
1.000_sigmoid_auto_0.3_desc,0.604,0.034,0.028,0.005,0.624,0.039,0.033,0.003,sigmoid,desc,1.0,auto,,0.3,0.326
10.000_sigmoid_auto_0.3_desc,0.604,0.034,0.028,0.005,0.624,0.039,0.033,0.003,sigmoid,desc,10.0,auto,,0.3,0.326
0.001_sigmoid_0.5_0.3_desc,0.587,0.013,0.022,0.001,0.629,0.007,0.033,0.002,sigmoid,desc,0.001,0.5,,0.3,0.3255
1.000_sigmoid_scale_0.3_desc,0.604,0.035,0.028,0.005,0.623,0.039,0.033,0.004,sigmoid,desc,1.0,scale,,0.3,0.3255
10.000_sigmoid_scale_0.3_desc,0.604,0.035,0.028,0.005,0.623,0.039,0.033,0.004,sigmoid,desc,10.0,scale,,0.3,0.3255
1.000_sigmoid_0.1_0.0_desc,0.583,0.015,0.03,0.014,0.609,0.014,0.03,0.001,sigmoid,desc,1.0,0.1,,0.0,0.3195
0.010_sigmoid_0.1_-1.0_desc,0.581,0.016,0.027,0.005,0.605,0.025,0.032,0.002,sigmoid,desc,0.01,0.1,,-1.0,0.316
0.100_sigmoid_0.5_0.3_desc,0.587,0.034,0.026,0.011,0.606,0.03,0.03,0.003,sigmoid,desc,0.1,0.5,,0.3,0.316
10.000_sigmoid_0.1_0.0_desc,0.578,0.024,0.027,0.015,0.604,0.021,0.029,0.002,sigmoid,desc,10.0,0.1,,0.0,0.3155
0.100_sigmoid_auto_0.3_desc,0.587,0.017,0.028,0.004,0.601,0.025,0.033,0.002,sigmoid,desc,0.1,auto,,0.3,0.3145
0.100_sigmoid_auto_1.0_desc,0.585,0.023,0.03,0.007,0.598,0.036,0.031,0.002,sigmoid,desc,0.1,auto,,1.0,0.314
0.010_sigmoid_auto_1.0_desc,0.589,0.028,0.028,0.002,0.599,0.028,0.033,0.003,sigmoid,desc,0.01,auto,,1.0,0.3135
1.000_sigmoid_auto_0.3_desc,0.586,0.017,0.028,0.004,0.599,0.026,0.033,0.002,sigmoid,desc,1.0,auto,,0.3,0.3135
0.100_sigmoid_scale_0.3_desc,0.586,0.017,0.028,0.004,0.598,0.026,0.033,0.002,sigmoid,desc,0.1,scale,,0.3,0.313
0.100_sigmoid_scale_1.0_desc,0.579,0.026,0.03,0.006,0.596,0.036,0.03,0.003,sigmoid,desc,0.1,scale,,1.0,0.313
1.000_sigmoid_scale_0.3_desc,0.584,0.017,0.029,0.005,0.596,0.026,0.032,0.002,sigmoid,desc,1.0,scale,,0.3,0.3125
1.000_sigmoid_auto_3.0_desc,0.572,0.029,0.03,0.007,0.594,0.035,0.029,0.003,sigmoid,desc,1.0,auto,,3.0,0.312
1.000_sigmoid_auto_1.0_desc,0.576,0.025,0.029,0.006,0.593,0.038,0.03,0.002,sigmoid,desc,1.0,auto,,1.0,0.311
1.000_sigmoid_0.1_0.3_desc,0.579,0.037,0.022,0.003,0.6,0.037,0.029,0.004,sigmoid,desc,1.0,0.1,,0.3,0.311
10.000_sigmoid_auto_1.0_desc,0.576,0.025,0.029,0.006,0.593,0.038,0.03,0.002,sigmoid,desc,10.0,auto,,1.0,0.311
10.000_sigmoid_0.5_-1.0_desc,0.572,0.024,0.026,0.014,0.596,0.029,0.029,0.002,sigmoid,desc,10.0,0.5,,-1.0,0.311
1.000_sigmoid_scale_1.0_desc,0.575,0.028,0.029,0.006,0.592,0.038,0.029,0.003,sigmoid,desc,1.0,scale,,1.0,0.3105
1.000_sigmoid_scale_3.0_desc,0.571,0.03,0.03,0.007,0.591,0.035,0.029,0.003,sigmoid,desc,1.0,scale,,3.0,0.3105
0.100_sigmoid_0.1_-1.0_desc,0.566,0.021,0.025,0.006,0.595,0.032,0.03,0.002,sigmoid,desc,0.1,0.1,,-1.0,0.31
10.000_sigmoid_scale_1.0_desc,0.575,0.026,0.029,0.006,0.591,0.038,0.029,0.002,sigmoid,desc,10.0,scale,,1.0,0.31
0.010_sigmoid_scale_1.0_desc,0.583,0.027,0.027,0.002,0.591,0.028,0.032,0.003,sigmoid,desc,0.01,scale,,1.0,0.309
0.100_sigmoid_0.5_0.0_desc,0.577,0.038,0.019,0.001,0.598,0.035,0.029,0.004,sigmoid,desc,0.1,0.5,,0.0,0.3085
10.000_sigmoid_0.5_0.3_desc,0.583,0.03,0.02,0.003,0.597,0.032,0.03,0.003,sigmoid,desc,10.0,0.5,,0.3,0.3085
0.010_sigmoid_0.1_0.0_desc,0.57,0.013,0.029,0.014,0.586,0.022,0.029,0.001,sigmoid,desc,0.01,0.1,,0.0,0.3075
1.000_sigmoid_0.5_0.3_desc,0.574,0.04,0.02,0.003,0.595,0.036,0.029,0.004,sigmoid,desc,1.0,0.5,,0.3,0.3075
0.100_sigmoid_0.5_3.0_desc,0.569,0.024,0.021,0.003,0.592,0.032,0.028,0.002,sigmoid,desc,0.1,0.5,,3.0,0.3065
0.001_sigmoid_0.5_10.0_desc,0.567,0.012,0.016,0.002,0.596,0.024,0.028,0.001,sigmoid,desc,0.001,0.5,,10.0,0.306
0.010_sigmoid_0.1_-1.0_desc,0.583,0.032,0.022,0.003,0.59,0.04,0.03,0.003,sigmoid,desc,0.01,0.1,,-1.0,0.306
0.010_sigmoid_0.5_-1.0_desc,0.57,0.026,0.019,0.002,0.593,0.027,0.029,0.002,sigmoid,desc,0.01,0.5,,-1.0,0.306
