c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.010_rbf_0.5_desc,0.5,0.0,0.428,0.06,0.895,0.012,0.0,0.0,rbf,desc,0.01,0.5,,,0.6615
0.100_rbf_0.5_desc,0.51,0.007,0.424,0.053,0.888,0.015,0.038,0.026,rbf,desc,0.1,0.5,,,0.656
0.001_rbf_0.5_desc,0.5,0.0,0.414,0.056,0.886,0.013,0.005,0.009,rbf,desc,0.001,0.5,,,0.65
0.010_rbf_scale_desc,0.837,0.014,0.311,0.044,0.912,0.011,0.117,0.002,rbf,desc,0.01,scale,,,0.6115
0.010_rbf_auto_desc,0.837,0.014,0.307,0.043,0.912,0.011,0.117,0.002,rbf,desc,0.01,auto,,,0.6095
0.001_rbf_scale_desc,0.747,0.02,0.255,0.03,0.828,0.01,0.067,0.004,rbf,desc,0.001,scale,,,0.5415
0.001_rbf_auto_desc,0.748,0.02,0.252,0.028,0.828,0.01,0.069,0.004,rbf,desc,0.001,auto,,,0.54
15.000_rbf_scale_fps,0.738,0.023,0.711,0.026,0.939,0.018,0.635,0.04,rbf,fps,15.0,scale,,,0.825
20.000_rbf_scale_fps,0.738,0.023,0.711,0.026,0.939,0.018,0.635,0.04,rbf,fps,20.0,scale,,,0.825
50.000_rbf_scale_fps,0.738,0.023,0.711,0.026,0.939,0.018,0.635,0.04,rbf,fps,50.0,scale,,,0.825
5.000_rbf_auto_fps,0.742,0.017,0.708,0.043,0.936,0.005,0.645,0.028,rbf,fps,5.0,auto,,,0.8220000000000001
10.000_rbf_auto_fps,0.742,0.017,0.707,0.044,0.936,0.005,0.645,0.028,rbf,fps,10.0,auto,,,0.8215
2.000_rbf_auto_fps,0.743,0.017,0.706,0.045,0.936,0.005,0.645,0.028,rbf,fps,2.0,auto,,,0.821
10.000_rbf_scale_fps,0.732,0.03,0.711,0.048,0.929,0.017,0.619,0.059,rbf,fps,10.0,scale,,,0.8200000000000001
1.000_rbf_auto_fps,0.745,0.017,0.703,0.046,0.937,0.005,0.646,0.031,rbf,fps,1.0,auto,,,0.8200000000000001
0.500_rbf_auto_fps,0.75,0.013,0.699,0.048,0.939,0.006,0.656,0.023,rbf,fps,0.5,auto,,,0.819
15.000_rbf_auto_fps,0.737,0.024,0.7,0.065,0.931,0.025,0.634,0.044,rbf,fps,15.0,auto,,,0.8155
20.000_rbf_auto_fps,0.737,0.024,0.7,0.065,0.931,0.025,0.634,0.044,rbf,fps,20.0,auto,,,0.8155
50.000_rbf_auto_fps,0.737,0.024,0.7,0.065,0.931,0.025,0.634,0.044,rbf,fps,50.0,auto,,,0.8155
0.100_rbf_auto_fps,0.775,0.016,0.68,0.052,0.943,0.008,0.669,0.041,rbf,fps,0.1,auto,,,0.8115
5.000_rbf_scale_fps,0.726,0.011,0.682,0.046,0.937,0.021,0.608,0.019,rbf,fps,5.0,scale,,,0.8095000000000001
2.500_rbf_scale_fps,0.727,0.014,0.681,0.047,0.937,0.021,0.609,0.027,rbf,fps,2.5,scale,,,0.809
1.000_rbf_scale_fps,0.733,0.014,0.68,0.046,0.937,0.021,0.619,0.027,rbf,fps,1.0,scale,,,0.8085
0.500_rbf_scale_fps,0.745,0.019,0.675,0.046,0.937,0.019,0.639,0.033,rbf,fps,0.5,scale,,,0.806
0.250_rbf_scale_fps,0.752,0.024,0.669,0.05,0.939,0.019,0.646,0.041,rbf,fps,0.25,scale,,,0.804
0.100_rbf_scale_fps,0.771,0.023,0.661,0.056,0.941,0.019,0.656,0.04,rbf,fps,0.1,scale,,,0.8009999999999999
0.100_rbf_scale_fps,0.778,0.007,0.66,0.041,0.939,0.012,0.68,0.01,rbf,fps,0.1,scale,,,0.7995
0.100_rbf_auto_fps,0.778,0.007,0.66,0.041,0.939,0.012,0.68,0.01,rbf,fps,0.1,auto,,,0.7995
0.010_rbf_scale_fps,0.807,0.024,0.461,0.036,0.864,0.024,0.16,0.015,rbf,fps,0.01,scale,,,0.6625
0.001_rbf_scale_fps,0.498,0.002,0.246,0.027,0.814,0.026,0.025,0.0,rbf,fps,0.001,scale,,,0.53
0.001_rbf_auto_fps,0.498,0.002,0.246,0.027,0.814,0.026,0.025,0.0,rbf,fps,0.001,auto,,,0.53
0.010_rbf_0.1_fps,0.5,0.0,0.047,0.015,0.527,0.008,0.02,0.01,rbf,fps,0.01,0.1,,,0.287
0.500_rbf_0.1_fps,0.5,0.0,0.046,0.02,0.528,0.009,0.0,0.0,rbf,fps,0.5,0.1,,,0.287
1.000_rbf_0.1_fps,0.5,0.0,0.046,0.02,0.528,0.009,0.0,0.0,rbf,fps,1.0,0.1,,,0.287
0.100_rbf_0.1_fps,0.5,0.0,0.046,0.02,0.525,0.009,0.0,0.0,rbf,fps,0.1,0.1,,,0.2855
0.001_rbf_0.1_fps,0.5,0.0,0.031,0.012,0.513,0.006,0.025,0.0,rbf,fps,0.001,0.1,,,0.272
0.001_rbf_0.5_fps,0.5,0.0,0.022,0.01,0.503,0.005,0.025,0.0,rbf,fps,0.001,0.5,,,0.2625
0.010_rbf_0.5_fps,0.5,0.0,0.022,0.01,0.503,0.005,0.02,0.01,rbf,fps,0.01,0.5,,,0.2625
0.100_rbf_0.5_fps,0.5,0.0,0.012,0.0,0.499,0.002,0.0,0.0,rbf,fps,0.1,0.5,,,0.2555
0.500_rbf_0.5_fps,0.5,0.0,0.012,0.0,0.499,0.002,0.0,0.0,rbf,fps,0.5,0.5,,,0.2555
0.010_rbf_auto_fps,,,,,,,,,rbf,fps,0.01,auto,,,
0.100_rbf_0.1_fps,,,,,,,,,rbf,fps,0.1,0.1,,,
2.000_sigmoid_scale_-1.0_both,0.798,0.036,0.705,0.057,0.938,0.019,0.708,0.056,sigmoid,both,2.0,scale,,-1.0,0.8214999999999999
2.000_sigmoid_auto_-1.0_both,0.798,0.036,0.705,0.057,0.938,0.019,0.709,0.055,sigmoid,both,2.0,auto,,-1.0,0.8214999999999999
5.000_sigmoid_scale_-1.0_both,0.791,0.038,0.694,0.051,0.936,0.02,0.706,0.059,sigmoid,both,5.0,scale,,-1.0,0.815
5.000_sigmoid_auto_-1.0_both,0.791,0.038,0.694,0.051,0.936,0.02,0.706,0.059,sigmoid,both,5.0,auto,,-1.0,0.815
0.500_sigmoid_scale_-10.0_both,0.5,0.0,0.698,0.032,0.929,0.021,0.024,0.0,sigmoid,both,0.5,scale,,-10.0,0.8135
0.200_sigmoid_scale_-10.0_both,0.5,0.0,0.697,0.029,0.925,0.019,0.024,0.0,sigmoid,both,0.2,scale,,-10.0,0.8109999999999999
1.000_sigmoid_scale_-1.0_both,0.804,0.015,0.68,0.048,0.938,0.009,0.7,0.035,sigmoid,both,1.0,scale,,-1.0,0.8089999999999999
1.000_sigmoid_auto_-1.0_both,0.804,0.015,0.68,0.048,0.938,0.009,0.7,0.035,sigmoid,both,1.0,auto,,-1.0,0.8089999999999999
0.500_sigmoid_scale_-1.0_both,0.814,0.009,0.675,0.047,0.941,0.007,0.693,0.026,sigmoid,both,0.5,scale,,-1.0,0.808
0.500_sigmoid_auto_-1.0_both,0.813,0.008,0.675,0.047,0.941,0.007,0.691,0.024,sigmoid,both,0.5,auto,,-1.0,0.808
0.500_sigmoid_scale_-3.0_both,0.791,0.032,0.659,0.043,0.939,0.018,0.661,0.044,sigmoid,both,0.5,scale,,-3.0,0.7989999999999999
0.100_sigmoid_scale_-1.0_both,0.853,0.013,0.648,0.041,0.949,0.016,0.606,0.022,sigmoid,both,0.1,scale,,-1.0,0.7985
0.100_sigmoid_auto_-1.0_both,0.853,0.013,0.648,0.041,0.949,0.016,0.606,0.022,sigmoid,both,0.1,auto,,-1.0,0.7985
2.000_sigmoid_scale_-1.0_both,0.791,0.03,0.626,0.044,0.928,0.012,0.678,0.04,sigmoid,both,2.0,scale,,-1.0,0.777
2.000_sigmoid_auto_-1.0_both,0.791,0.03,0.626,0.044,0.928,0.013,0.678,0.04,sigmoid,both,2.0,auto,,-1.0,0.777
0.200_sigmoid_scale_-1.0_both,0.839,0.021,0.599,0.088,0.937,0.022,0.671,0.045,sigmoid,both,0.2,scale,,-1.0,0.768
10.000_sigmoid_auto_-1.0_both,0.792,0.028,0.6,0.073,0.927,0.019,0.68,0.051,sigmoid,both,10.0,auto,,-1.0,0.7635000000000001
10.000_sigmoid_scale_-1.0_both,0.791,0.028,0.599,0.072,0.927,0.019,0.677,0.053,sigmoid,both,10.0,scale,,-1.0,0.763
5.000_sigmoid_scale_-1.0_both,0.784,0.032,0.588,0.046,0.923,0.015,0.664,0.043,sigmoid,both,5.0,scale,,-1.0,0.7555000000000001
5.000_sigmoid_auto_-1.0_both,0.784,0.032,0.588,0.046,0.923,0.015,0.665,0.043,sigmoid,both,5.0,auto,,-1.0,0.7555000000000001
0.200_sigmoid_scale_-3.0_both,0.721,0.022,0.587,0.041,0.923,0.02,0.57,0.039,sigmoid,both,0.2,scale,,-3.0,0.755
0.200_sigmoid_scale_-0.5_both,0.862,0.023,0.519,0.077,0.931,0.021,0.472,0.026,sigmoid,both,0.2,scale,,-0.5,0.7250000000000001
0.010_sigmoid_scale_-1.0_both,0.803,0.034,0.518,0.085,0.925,0.027,0.453,0.048,sigmoid,both,0.01,scale,,-1.0,0.7215
30.000_sigmoid_auto_-1.0_both,0.786,0.021,0.525,0.08,0.916,0.019,0.623,0.042,sigmoid,both,30.0,auto,,-1.0,0.7205
30.000_sigmoid_scale_-1.0_both,0.784,0.024,0.515,0.085,0.916,0.019,0.614,0.052,sigmoid,both,30.0,scale,,-1.0,0.7155
0.010_sigmoid_scale_0.0_both,0.838,0.036,0.4,0.061,0.92,0.029,0.218,0.022,sigmoid,both,0.01,scale,,0.0,0.66
0.500_sigmoid_scale_-5.0_both,0.503,0.002,0.408,0.053,0.879,0.026,0.011,0.009,sigmoid,both,0.5,scale,,-5.0,0.6435
0.200_sigmoid_scale_-5.0_both,0.503,0.002,0.404,0.052,0.879,0.026,0.011,0.009,sigmoid,both,0.2,scale,,-5.0,0.6415
0.010_sigmoid_scale_0.3_both,0.832,0.036,0.365,0.058,0.915,0.029,0.19,0.017,sigmoid,both,0.01,scale,,0.3,0.64
0.100_sigmoid_scale_0.0_both,0.872,0.017,0.344,0.009,0.93,0.017,0.196,0.006,sigmoid,both,0.1,scale,,0.0,0.637
0.100_sigmoid_auto_0.0_both,0.873,0.018,0.334,0.008,0.93,0.017,0.195,0.009,sigmoid,both,0.1,auto,,0.0,0.632
1.000_sigmoid_scale_3.0_both,0.851,0.011,0.325,0.035,0.918,0.011,0.163,0.003,sigmoid,both,1.0,scale,,3.0,0.6215
1.000_sigmoid_auto_3.0_both,0.851,0.011,0.325,0.035,0.918,0.011,0.164,0.003,sigmoid,both,1.0,auto,,3.0,0.6215
0.500_sigmoid_scale_3.0_both,0.817,0.014,0.315,0.033,0.905,0.017,0.185,0.005,sigmoid,both,0.5,scale,,3.0,0.61
0.500_sigmoid_auto_3.0_both,0.816,0.013,0.315,0.033,0.905,0.017,0.185,0.004,sigmoid,both,0.5,auto,,3.0,0.61
2.000_sigmoid_auto_3.0_both,0.845,0.021,0.292,0.051,0.917,0.014,0.149,0.009,sigmoid,both,2.0,auto,,3.0,0.6045
2.000_sigmoid_scale_3.0_both,0.846,0.02,0.291,0.051,0.916,0.014,0.149,0.009,sigmoid,both,2.0,scale,,3.0,0.6035
0.010_sigmoid_scale_1.0_both,0.793,0.029,0.308,0.048,0.89,0.032,0.187,0.021,sigmoid,both,0.01,scale,,1.0,0.599
2.000_sigmoid_scale_3.0_both,0.847,0.011,0.283,0.038,0.91,0.01,0.144,0.004,sigmoid,both,2.0,scale,,3.0,0.5965
2.000_sigmoid_auto_3.0_both,0.846,0.009,0.283,0.037,0.91,0.009,0.144,0.003,sigmoid,both,2.0,auto,,3.0,0.5965
0.001_sigmoid_scale_-1.0_both,0.604,0.094,0.3,0.04,0.879,0.012,0.031,0.013,sigmoid,both,0.001,scale,,-1.0,0.5895
